date,open,low,high,close,volume
2014-07-23,1040.0,1030.05,1045.85,1037.05,2286827.0
2014-07-24,1033.9,1023.5,1040.25,1036.25,2219821.0
2014-07-25,1045.0,1040.0,1079.7,1067.75,4052214.0
2014-07-26,1045.0,1040.0,1079.7,1067.75,4052214.0
2014-07-27,1045.0,1040.0,1079.7,1067.75,4052214.0
2014-07-28,1065.1,1046.7,1073.85,1066.5,1735137.0
2014-07-29,1065.1,1046.7,1073.85,1066.5,1735137.0
2014-07-30,1066.15,1055.55,1092.3,1087.55,3614271.0
2014-07-31,1083.1,1061.6,1085.0,1068.4,3912617.0
2014-08-01,1059.0,1035.2,1059.0,1039.65,3191220.0
2014-08-02,1059.0,1035.2,1059.0,1039.65,3191220.0
2014-08-03,1059.0,1035.2,1059.0,1039.65,3191220.0
2014-08-04,1040.15,1016.15,1048.2,1027.2,3447488.0
2014-08-05,1027.2,1010.0,1054.7,1045.45,2507633.0
2014-08-06,1043.0,1030.4,1061.0,1035.35,2547257.0
2014-08-07,1025.0,1020.7,1041.7,1026.85,1772201.0
2014-08-08,1018.9,1016.6,1029.8,1026.95,1463169.0
2014-08-09,1018.9,1016.6,1029.8,1026.95,1463169.0
2014-08-10,1018.9,1016.6,1029.8,1026.95,1463169.0
2014-08-11,1032.25,1030.15,1069.9,1063.2,2698375.0
2014-08-12,1077.7,1067.35,1121.9,1116.4,3812260.0
2014-08-13,1121.0,1106.5,1149.0,1144.1,6426655.0
2014-08-14,1151.4,1111.5,1151.4,1124.3,3955619.0
2014-08-15,1151.4,1111.5,1151.4,1124.3,3955619.0
2014-08-16,1151.4,1111.5,1151.4,1124.3,3955619.0
2014-08-17,1151.4,1111.5,1151.4,1124.3,3955619.0
2014-08-18,1119.9,1107.55,1125.55,1112.55,1827672.0
2014-08-19,1117.0,1082.4,1124.0,1085.05,3108921.0
2014-08-20,1094.0,1064.55,1094.0,1072.4,2958191.0
2014-08-21,1078.0,1060.65,1080.0,1064.4,3515263.0
2014-08-22,1065.1,1042.15,1076.5,1044.6,3614598.0
2014-08-23,1065.1,1042.15,1076.5,1044.6,3614598.0
2014-08-24,1065.1,1042.15,1076.5,1044.6,3614598.0
2014-08-25,1046.0,1045.8,1064.4,1056.3,1443151.0
2014-08-26,1056.0,1054.0,1069.8,1061.95,2604117.0
2014-08-27,1061.5,1057.4,1075.7,1069.65,3233230.0
2014-08-28,1068.5,1063.9,1079.9,1074.5,3638090.0
2014-08-29,1068.5,1063.9,1079.9,1074.5,3638090.0
2014-08-30,1068.5,1063.9,1079.9,1074.5,3638090.0
2014-08-31,1068.5,1063.9,1079.9,1074.5,3638090.0
2014-09-01,1084.1,1057.0,1084.1,1058.7,2199257.0
2014-09-02,1059.0,1059.0,1080.0,1066.25,2506164.0
2014-09-03,1069.85,1057.1,1074.85,1062.7,2505310.0
2014-09-04,1066.0,1057.7,1081.7,1080.2,2384438.0
2014-09-05,1080.05,1049.5,1081.4,1055.05,3252019.0
2014-09-06,1080.05,1049.5,1081.4,1055.05,3252019.0
2014-09-07,1080.05,1049.5,1081.4,1055.05,3252019.0
2014-09-08,1064.7,1046.6,1065.9,1051.65,2229615.0
2014-09-09,1054.9,1045.1,1057.35,1050.25,1725098.0
2014-09-10,1050.0,1032.2,1053.25,1035.05,2182023.0
2014-09-11,1045.45,1032.55,1049.75,1037.85,3049405.0
2014-09-12,1041.0,1038.45,1054.8,1050.3,1810713.0
2014-09-13,1041.0,1038.45,1054.8,1050.3,1810713.0
2014-09-14,1041.0,1038.45,1054.8,1050.3,1810713.0
2014-09-15,1050.0,1026.7,1050.0,1034.1,1814730.0
2014-09-16,1026.5,1012.75,1040.7,1017.8,2644331.0
2014-09-17,1019.0,1013.0,1033.8,1018.4,2922108.0
2014-09-18,1012.15,1010.65,1056.0,1053.05,3341891.0
2014-09-19,1053.8,1048.65,1074.0,1066.25,5966478.0
2014-09-20,1053.8,1048.65,1074.0,1066.25,5966478.0
2014-09-21,1053.8,1048.65,1074.0,1066.25,5966478.0
2014-09-22,1056.5,1054.8,1083.05,1079.15,1599003.0
2014-09-23,1076.85,1060.0,1084.0,1066.15,2035289.0
2014-09-24,1064.3,1041.55,1066.25,1054.7,2800306.0
2014-09-25,1052.5,1046.7,1067.25,1056.7,3556326.0
2014-09-26,1046.6,1023.25,1057.7,1038.2,3125255.0
2014-09-27,1046.6,1023.25,1057.7,1038.2,3125255.0
2014-09-28,1046.6,1023.25,1057.7,1038.2,3125255.0
2014-09-29,1038.2,1025.0,1046.5,1031.15,1210491.0
2014-09-30,1031.15,1030.2,1062.9,1055.25,2920034.0
2014-10-01,1050.0,1040.0,1058.0,1050.35,1439615.0
2014-10-02,1050.0,1040.0,1058.0,1050.35,1439615.0
2014-10-03,1050.0,1040.0,1058.0,1050.35,1439615.0
2014-10-04,1050.0,1040.0,1058.0,1050.35,1439615.0
2014-10-05,1050.0,1040.0,1058.0,1050.35,1439615.0
2014-10-06,1050.0,1040.0,1058.0,1050.35,1439615.0
2014-10-07,1045.0,1015.15,1047.0,1017.8,2317225.0
2014-10-08,1016.1,1006.85,1025.65,1014.65,1956573.0
