Scrip Code,COMPANY,ISIN No.,Close Price
540719,SBI Life Insurance Company Ltd,INE123W01016,747.9
505790,Schaeffler India Ltd,INE513A01014,3122.5
534139,Schneider Electric Infrastructure Ltd.,INE839M01018,81.6
540673,Security and Intelligence Services (India) Ltd,INE285J01028,379.9
540425,Shankara Building Products Ltd,INE274V01019,237.8
540203,Sheela Foam Ltd,INE916U01025,1390.8
530549,Shilpa Medicare Ltd,INE790G01031,377
523598,Shipping Corp of India Ltd,INE109A01011,48.2
532638,Shoppers Stop Ltd,INE498B01024,133.25
500387,Shree Cement Ltd,INE070A01015,20770
532498,Shriram City Union Finance Ltd.,INE722A01011,645.15
511218,Shriram Transport Finance Co Ltd,INE721A01013,567
500550,Siemens India Ltd,INE003A01024,1072.05
533206,SJVN Ltd,INE002L01015,21.05
500472,SKF India Ltd,INE640A01023,1431.9
532784,Sobha Limited,INE671H01015,201.4
532725,Solar Industries India Ltd,INE343H01029,875.35
531548,Somany Ceramics Ltd,INE355A01028,103.4
532221,Sonata Software Ltd,INE269A01021,205.65
532218,South Indian Bank Ltd,INE683A01023,4.97
500285,SpiceJet Ltd.,INE285B01017,45
503806,SRF Ltd,INE647A01010,3409.55
540575,Star Cement Ltd,INE460H01021,73.3
500112,State Bank of India,INE062A01020,158.3
500113,Steel Authority of India Ltd,INE114A01011,30.2
532374,Sterlite Technologies Ltd.,INE089C01029,95.8
532531,Strides Pharma Science Ltd,INE939A01011,395.8
506655,Sudarshan Chemical Industries,INE659A01023,395.25
532872,Sun Pharma Advanced Research Co Ltd,INE232I01014,135.15
524715,Sun Pharmaceutical Industries Ltd,INE044A01036,459.25
532733,Sun TV Network Ltd,INE424H01027,389.6
500403,Sundaram Fastners,INE387A01021,291.05
512179,Sunteck Realty Ltd,INE805D01034,156.55
532509,Suprajit Engineering Ltd,INE399C01030,113.55
509930,Supreme Industries,INE195A01028,984.45
532667,Suzlon Energy Ltd,INE040H01021,2.82
503310,Swan Energy Ltd.,INE665A01038,100.6
517385,Symphony Ltd,INE225D01027,815.05
539268,Syngene International Ltd,INE398R01022,350.35
532890,Take Solutions Ltd,INE142I01023,53.15
531426,Tamilnadu Newsprint & Papers,INE107A01015,91.25
532301,Tata Coffee Ltd.,INE493A01027,73.95
532540,Tata Consultancy Services Ltd,INE467B01029,2005.2
500800,Tata Consumer Products Ltd,INE192A01025,370.85
500408,Tata Elxsi Ltd,INE670A01012,755.15
501301,Tata Investment Corp Ltd,INE672A01018,707.95
513434,Tata Metaliks Ltd.,INE056C01010,424.4
500570,Tata Motors Ltd,INE155A01022,86.85
570001,Tata Motors Ltd DVR,IN9155A01020,36
500400,Tata Power Co Ltd,INE245A01021,36.9
500470,Tata Steel Ltd,INE081A01012,295.15
540212,TCI Express Ltd,INE586V01016,626.55
541700,TCNS Clothing Co. Ltd,INE778U01029,330.85
539658,TeamLease Services Ltd,INE985S01024,1492.2
532755,Tech Mahindra Ltd,INE669C01036,529.9
540595,Tejas Networks Ltd,INE010J01012,32.65
540769,The New India Assurance Company Ltd,INE470Y01017,117.85
500411,Thermax Ltd,INE152A01029,721.55
539871,Thyrocare Technologies Ltd,INE594H01019,513.2
532856,Time Technoplast Ltd.,INE508G01029,29
522113,Timken India Ltd.,INE325A01013,786.8
500114,Titan Co Ltd,INE280A01028,899.8
500420,Torrent Pharmaceuticals Ltd,INE685A01028,2357.15
532779,Torrent Power Ltd,INE813H01021,305.25
500251,Trent Ltd.,INE849A01020,463.95
521064,Trident Ltd.,INE064C01022,4.57
517506,TTK Prestige Ltd,INE690A01010,4775.65
540762,Tube Investments Of India,INE974X01010,340.8
532515,TV Today Network,INE038F01029,176.25
532800,TV18 Broadcast Ltd,INE886H01027,21.55
532343,TVS Motor Co Ltd,INE494B01023,332.95
509243,TVS Srichakra Ltd,INE421C01016,1415.15
532505,UCO Bank,INE691A01018,11.01
500148,Uflex Ltd,INE516A01017,187
539874,Ujjivan Financial Services Ltd,INE334L01012,169.5
532538,UltraTech Cement Ltd,INE481G01011,3810.6
532477,Union Bank of India,INE692A01016,23.4
532478,United Breweries Ltd,INE686F01025,943.95
512070,UPL Ltd,INE628A01036,390.85
532953,V-Guard Industries Ltd,INE951I01027,173.6
534976,V-Mart Retail Limited,INE665J01013,1598.8
533269,VA Tech Wabag Ltd,INE956G01038,91.4
532156,Vaibhav Global Ltd,INE884A01019,1068.6
502986,Vardhman Textiles Ltd.,INE825A01012,636.1
541578,Varroc Engineering Ltd,INE665L01035,128.3
540180,Varun Beverages Ltd,INE200M01013,612.3
500295,Vedanta Ltd,INE205A01025,89.95
523261,Venky's India Ltd,INE398A01010,1035.7
524200,Vinati Organics Ltd,INE410B01037,965.7
507880,VIP Industries Ltd,INE054A01027,210.25
532822,Vodafone Idea Ltd,INE669E01016,5.82
500575,Voltas Ltd,INE226A01021,486.6
539118,VRL Logistics Ltd,INE366I01010,147
509966,VST Industries Ltd.,INE710A01016,3084.55
533023,WABCO India Ltd,INE342J01019,6903.25
532144,Welspun Corp Ltd,INE191B01025,58.5
514162,Welspun India Ltd.,INE192B01031,29.7
505533,Westlife Development Ltd,INE274F01020,285.75
500238,Whirlpool of India Ltd,INE716A01013,1952.55
507685,Wipro Ltd,INE075A01022,199.3
532300,Wockhardt Ltd,INE049B01025,226
505537,Zee Entertainment Enterprises Ltd,INE256A01028,180.75
504067,Zensar Technologies Ltd,INE520A01027,90.05
531335,Zydus Wellness Ltd,INE768C01010,1236.5
